,nome_estacao,poluente,metrica,ano,nível_de_poluicao,unidade_de_nivel_de_poluicao,tipo_de_estacao,tipo_de_area,longitude,latitude,altitude,cidade,populacao_da_cidade,link_dados_raw,link_tabela_EEA,poluente_descricao,indice_qualidade_do_ar
2447,Loures-Centro,O3,Média anual,2011,57.456,ug/m3,Fundo,urbano,-9.1644,38.8297,10.0,Lisboa (greater city)                                                           ,1872036.0,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Ozono,Muito Bom
2448,Mem Martins,PM2.5,Média anual,2009,8.197,ug/m3,Fundo,urbano,-9.3472,38.785,173.0,Sintra                                                                          ,391402.0,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Partículas de diâmetro igual ou inferior a 2.5 µm,Muito Bom
2449,Laranjeiro,PM10,Média anual,2006,29.102,ug/m3,Fundo,urbano,-9.1578,38.6636,63.0,Lisboa (greater city)                                                           ,1872036.0,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Partículas de diâmetro igual ou inferior a 10 µm,Bom
2450,Monte Chãos,O3,Média anual,1999,6.99,ug/m3,Industrial,suburbano,-8.8381,37.9542,129.0,,,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Ozono,Muito Bom
2451,Laranjeiro,PM10,Média anual,2019,21.224,ug/m3,Fundo,urbano,-9.1578,38.6636,63.0,Lisboa (greater city)                                                           ,1872036.0,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PT&CityName=&Pollutant=5&Year_from=2019&Year_to=2019&Station=STA-PT03083&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Partículas de diâmetro igual ou inferior a 10 µm,Bom
2452,Monte Velho,O3,Média anual,2014,64.222,ug/m3,Fundo,rural,-8.7986,38.0769,53.0,,,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PT&CityName=&Pollutant=7&Year_from=2014&Year_to=2014&Station=STA-PT04002&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Ozono,Muito Bom
2453,Monte Velho,NO2,Média anual,2000,5.86,ug/m3,Fundo,rural,-8.7986,38.0769,53.0,,,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Dióxido de azoto,Muito Bom
2454,Santiago do Cacém,SO2,Média anual,2013,5.904,ug/m3,Industrial,urbano,-8.6975,38.02,261.0,,,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PT&CityName=&Pollutant=1&Year_from=2013&Year_to=2013&Station=STA-PT04004&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Dióxido de enxofre,Muito Bom
2455,Sobreiras-Lordelo do Ouro,O3,Média anual,2012,40.182,ug/m3,Fundo,urbano,-8.6589,41.1475,17.0,Porto (greater city)                                                            ,955864.0,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Ozono,Muito Bom
2456,Faial,PM2.5,Média anual,2010,3.021,ug/m3,Fundo,rural,-28.6314,38.605,310.0,,,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Partículas de diâmetro igual ou inferior a 2.5 µm,Muito Bom
2457,Frossos-Braga,O3,Média anual,2020,20.314,ug/m3,Fundo,suburbano,-8.4569,41.5694,51.0,Braga                                                                           ,182679.0,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PT&CityName=&Pollutant=7&Year_from=2020&Year_to=2020&Station=STA-PT01042&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Ozono,Muito Bom
2458,Joaquim Magalhães,PM2.5,Média anual,2005,12.496,ug/m3,Fundo,urbano,-7.9267,37.015,4.0,Faro                                                                            ,61015.0,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Partículas de diâmetro igual ou inferior a 2.5 µm,Bom
2459,Lavradio,NO2,Média anual,2001,33.594,ug/m3,Industrial,urbano,-9.0478,38.6667,31.0,,,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Dióxido de azoto,Muito Bom
2460,Cascais-Mercado,NO2,Média anual,2004,36.909,ug/m3,Tráfego,urbano,-9.42,38.6997,5.0,Lisboa (greater city)                                                           ,1872036.0,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Dióxido de azoto,Muito Bom
2461,Leça do Balio-Matosinhos,PM10,Média anual,2020,19.121,ug/m3,Fundo,suburbano,-8.6322,41.2181,40.0,Porto (greater city)                                                            ,955864.0,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PT&CityName=&Pollutant=5&Year_from=2020&Year_to=2020&Station=STA-PT01034&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Partículas de diâmetro igual ou inferior a 10 µm,Muito Bom
2462,Terena,NO2,Média anual,2012,4.375,ug/m3,Fundo,rural,-7.3975,38.615,187.0,,,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Dióxido de azoto,Muito Bom
2463,Cónego Dr. Manuel Faria-Azurém,PM10,Média anual,2005,51.248,ug/m3,Tráfego,urbano,-8.2964,41.4497,185.0,Guimarães                                                                       ,152309.0,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Partículas de diâmetro igual ou inferior a 10 µm,Fraco
2464,Laranjeiro,O3,Média anual,2020,56.108,ug/m3,Fundo,urbano,-9.1578,38.6636,63.0,Lisboa (greater city)                                                           ,1872036.0,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PT&CityName=&Pollutant=7&Year_from=2020&Year_to=2020&Station=STA-PT03083&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Ozono,Muito Bom
2465,Quebedo,PM10,Média anual,2005,39.591,ug/m3,Tráfego,urbano,-8.8942,38.5242,16.0,Setúbal                                                                         ,115126.0,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Partículas de diâmetro igual ou inferior a 10 µm,Médio
2466,Francisco Sá Carneiro-Campanha,NO2,Média anual,2010,50.941,ug/m3,Tráfego,urbano,-8.5894,41.1644,146.0,Porto (greater city)                                                            ,955864.0,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Dióxido de azoto,Bom
2467,Minho-Lima,NO2,Média anual,2007,2.865,ug/m3,Fundo,rural,-8.6939,41.8022,777.0,Viana do Castelo                                                                ,84417.0,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Dióxido de azoto,Muito Bom
2468,Loures-Centro,NO2,Média anual,2016,17.445,ug/m3,Fundo,urbano,-9.1644,38.8297,10.0,Lisboa (greater city)                                                           ,1872036.0,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PT&CityName=&Pollutant=8&Year_from=2016&Year_to=2016&Station=STA-PT03085&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Dióxido de azoto,Muito Bom
2469,Odivelas-Ramada,NO2,Média anual,2014,27.288,ug/m3,Tráfego,urbano,-9.1822,38.8022,124.0,Lisboa (greater city)                                                           ,1872036.0,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PT&CityName=&Pollutant=8&Year_from=2014&Year_to=2014&Station=STA-PT03097&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Dióxido de azoto,Muito Bom
2470,Joaquim Magalhães,O3,Média anual,2014,66.663,ug/m3,Fundo,urbano,-7.9267,37.015,4.0,Faro                                                                            ,61015.0,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PT&CityName=&Pollutant=7&Year_from=2014&Year_to=2014&Station=STA-PT05007&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Ozono,Muito Bom
2471,Terena,SO2,Média anual,2005,4.049,ug/m3,Fundo,rural,-7.3975,38.615,187.0,,,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Dióxido de enxofre,Muito Bom
2472,Instituto Geofísico de Coimbra,SO2,Média anual,2007,5.428,ug/m3,Fundo,urbano,-8.4108,40.2069,138.0,Coimbra                                                                         ,134166.0,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Dióxido de enxofre,Muito Bom
2473,Monte Velho,O3,Média anual,2017,,ug/m3,Fundo,rural,-8.7986,38.0769,53.0,,,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PT&CityName=&Pollutant=7&Year_from=2017&Year_to=2017&Station=STA-PT04002&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Ozono,
2474,Douro Norte,O3,Média anual,2006,94.772,ug/m3,Fundo,rural,-7.7908,41.3714,1086.0,,,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Ozono,Bom
2475,Ílhavo,O3,Média anual,2021,58.416,ug/m3,Fundo,suburbano,-8.6706,40.5897,14.0,,,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Ozono,Muito Bom
2476,Escavadeira,NO2,Média anual,2003,19.792,ug/m3,Industrial,urbano,-9.0669,38.6586,30.0,Lisboa (greater city)                                                           ,1872036.0,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Dióxido de azoto,Muito Bom
2477,Montemor-o-Velho,NO2,Média anual,2009,11.196,ug/m3,Fundo,rural,-8.6767,40.1828,14.0,,,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Dióxido de azoto,Muito Bom
2478,Santiago do Cacém,O3,Média anual,2011,72.86,ug/m3,Industrial,urbano,-8.6975,38.02,261.0,,,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Ozono,Muito Bom
2479,Paio Pires,SO2,Média anual,2000,10.886,ug/m3,Fundo,suburbano,-9.0811,38.6194,47.0,Lisboa (greater city)                                                           ,1872036.0,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Dióxido de enxofre,Muito Bom
2480,Aveiro,PM10,Média anual,2020,17.513,ug/m3,Tráfego,urbano,-8.6467,40.6356,16.0,Aveiro                                                                          ,78734.0,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PT&CityName=&Pollutant=5&Year_from=2020&Year_to=2020&Station=STA-PT02017&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Partículas de diâmetro igual ou inferior a 10 µm,Muito Bom
2481,Lavradio,SO2,Média anual,2009,2.217,ug/m3,Industrial,urbano,-9.0478,38.6667,31.0,,,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Dióxido de enxofre,Muito Bom
2482,Mindelo-Vila do Conde,NO2,Média anual,2011,17.576,ug/m3,Fundo,suburbano,-8.7208,41.3086,25.0,,,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Dióxido de azoto,Muito Bom
2483,Restelo,PM10,Média anual,2008,26.193,ug/m3,Fundo,urbano,-9.2103,38.705,143.0,Lisboa (greater city)                                                           ,1872036.0,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Partículas de diâmetro igual ou inferior a 10 µm,Bom
2484,Ervedeira,PM2.5,Média anual,2005,33.867,ug/m3,Fundo,rural,-8.8917,39.9239,68.0,,,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Partículas de diâmetro igual ou inferior a 2.5 µm,Fraco
2485,Sobreiras-Lordelo do Ouro,PM2.5,Média anual,2022,,ug/m3,Fundo,urbano,-8.6589,41.1475,17.0,Porto (greater city)                                                            ,955864.0,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Partículas de diâmetro igual ou inferior a 2.5 µm,
2486,Frossos-Braga,PM10,Média anual,2007,28.834,ug/m3,Fundo,suburbano,-8.4569,41.5694,51.0,Braga                                                                           ,182679.0,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Partículas de diâmetro igual ou inferior a 10 µm,Bom
2487,Faial,PM2.5,Média anual,2018,3.312,ug/m3,Fundo,rural,-28.6314,38.605,310.0,,,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PT&CityName=&Pollutant=6001&Year_from=2018&Year_to=2018&Station=STA-PT07001&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Partículas de diâmetro igual ou inferior a 2.5 µm,Muito Bom
2488,Frossos-Braga,NO2,Média anual,2010,15.161,ug/m3,Fundo,suburbano,-8.4569,41.5694,51.0,Braga                                                                           ,182679.0,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Dióxido de azoto,Muito Bom
2489,Estarreja,O3,Média anual,2006,48.369,ug/m3,Industrial,suburbano,-8.5672,40.7586,14.0,,,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Ozono,Muito Bom
2490,Paio Pires,NO2,Média anual,2009,26.173,ug/m3,Fundo,suburbano,-9.0811,38.6194,47.0,Lisboa (greater city)                                                           ,1872036.0,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Dióxido de azoto,Muito Bom
2491,São Gonçalo,PM10,Média anual,2009,14.597,ug/m3,Fundo,urbano,-16.9183,32.6497,0.0,Funchal                                                                         ,104024.0,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Partículas de diâmetro igual ou inferior a 10 µm,Muito Bom
2492,Alverca,SO2,Média anual,2009,2.063,ug/m3,Fundo,urbano,-9.0403,38.8961,22.0,Vila Franca de Xira                                                             ,141957.0,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Dióxido de enxofre,Muito Bom
2493,Sonega,SO2,Média anual,2019,2.658,ug/m3,Industrial,rural,-8.7239,37.8711,235.0,,,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PT&CityName=&Pollutant=1&Year_from=2019&Year_to=2019&Station=STA-PT04003&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Dióxido de enxofre,Muito Bom
2494,David Neto,NO2,Média anual,2012,23.232,ug/m3,Tráfego,urbano,-8.5422,37.1383,6.0,,,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Dióxido de azoto,Muito Bom
2495,Malpique,O3,Média anual,2022,51.842,ug/m3,Fundo,urbano,-8.2497,37.0917,45.0,,,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Ozono,Muito Bom
2496,Douro Norte,O3,Média anual,2012,81.897,ug/m3,Fundo,rural,-7.7908,41.3714,1086.0,,,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Ozono,Bom
2497,Alverca,O3,Média anual,2022,46.343,ug/m3,Fundo,urbano,-9.0403,38.8961,22.0,Vila Franca de Xira                                                             ,141957.0,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Ozono,Muito Bom
2498,Monte Chãos,NO2,Média anual,2021,10.95,ug/m3,Industrial,suburbano,-8.8381,37.9542,129.0,,,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Dióxido de azoto,Muito Bom
2499,Olivais,PM10,Média anual,2008,23.548,ug/m3,Fundo,urbano,-9.1081,38.7689,32.0,Lisboa (greater city)                                                           ,1872036.0,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Partículas de diâmetro igual ou inferior a 10 µm,Bom
2500,Fundão,O3,Média anual,2014,62.1,ug/m3,Fundo,rural,-7.3019,40.2331,461.0,,,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PT&CityName=&Pollutant=7&Year_from=2014&Year_to=2014&Station=STA-PT02020&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Ozono,Muito Bom
2501,Fundão,O3,Média anual,2022,58.591,ug/m3,Fundo,rural,-7.3019,40.2331,461.0,,,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Ozono,Muito Bom
2502,Monte Chãos,O3,Média anual,2005,60.725,ug/m3,Industrial,suburbano,-8.8381,37.9542,129.0,,,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Ozono,Muito Bom
2503,Quebedo,PM10,Média anual,2019,18.48,ug/m3,Tráfego,urbano,-8.8942,38.5242,16.0,Setúbal                                                                         ,115126.0,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PT&CityName=&Pollutant=5&Year_from=2019&Year_to=2019&Station=STA-PT03094&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Partículas de diâmetro igual ou inferior a 10 µm,Muito Bom
2504,Fundão,SO2,Média anual,2014,0.277,ug/m3,Fundo,rural,-7.3019,40.2331,461.0,,,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PT&CityName=&Pollutant=1&Year_from=2014&Year_to=2014&Station=STA-PT02020&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Dióxido de enxofre,Muito Bom
2505,Olivais,PM10,Média anual,2018,18.447,ug/m3,Fundo,urbano,-9.1081,38.7689,32.0,Lisboa (greater city)                                                           ,1872036.0,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PT&CityName=&Pollutant=5&Year_from=2018&Year_to=2018&Station=STA-PT03071&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Partículas de diâmetro igual ou inferior a 10 µm,Muito Bom
2506,Ílhavo,O3,Média anual,2014,45.579,ug/m3,Fundo,suburbano,-8.6706,40.5897,14.0,,,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PT&CityName=&Pollutant=7&Year_from=2014&Year_to=2014&Station=STA-PT02018&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Ozono,Muito Bom
2507,Douro Norte,SO2,Média anual,2009,17.514,ug/m3,Fundo,rural,-7.7908,41.3714,1086.0,,,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Dióxido de enxofre,Muito Bom
2508,Olivais,NO2,Média anual,2014,25.986,ug/m3,Fundo,urbano,-9.1081,38.7689,32.0,Lisboa (greater city)                                                           ,1872036.0,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PT&CityName=&Pollutant=8&Year_from=2014&Year_to=2014&Station=STA-PT03071&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Dióxido de azoto,Muito Bom
2509,Entrecampos,PM10,Média anual,2010,31.72,ug/m3,Tráfego,urbano,-9.1489,38.7486,86.0,Lisboa (greater city)                                                           ,1872036.0,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Partículas de diâmetro igual ou inferior a 10 µm,Bom
2510,Sobreiras-Lordelo do Ouro,O3,Média anual,2017,39.555,ug/m3,Fundo,urbano,-8.6589,41.1475,17.0,Porto (greater city)                                                            ,955864.0,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PT&CityName=&Pollutant=7&Year_from=2017&Year_to=2017&Station=STA-PT01050&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Ozono,Muito Bom
2511,Sobreiras-Lordelo do Ouro,NO2,Média anual,2010,27.23,ug/m3,Fundo,urbano,-8.6589,41.1475,17.0,Porto (greater city)                                                            ,955864.0,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Dióxido de azoto,Muito Bom
2512,Monte Chãos,NO2,Média anual,2008,4.163,ug/m3,Industrial,suburbano,-8.8381,37.9542,129.0,,,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Dióxido de azoto,Muito Bom
2513,Mindelo-Vila do Conde,PM10,Média anual,2016,15.08,ug/m3,Fundo,suburbano,-8.7208,41.3086,25.0,,,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PT&CityName=&Pollutant=5&Year_from=2016&Year_to=2016&Station=STA-PT01051&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Partículas de diâmetro igual ou inferior a 10 µm,Muito Bom
2514,Estarreja,NO2,Média anual,2001,18.442,ug/m3,Industrial,suburbano,-8.5672,40.7586,14.0,,,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Dióxido de azoto,Muito Bom
2515,Olivais,SO2,Média anual,2009,0.634,ug/m3,Fundo,urbano,-9.1081,38.7689,32.0,Lisboa (greater city)                                                           ,1872036.0,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Dióxido de enxofre,Muito Bom
2516,Anta-Espinho,PM10,Média anual,2013,38.241,ug/m3,Fundo,suburbano,-8.6233,40.9994,0.0,,,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PT&CityName=&Pollutant=5&Year_from=2013&Year_to=2013&Station=STA-PT01054&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Partículas de diâmetro igual ou inferior a 10 µm,Médio
2517,Escavadeira,NO2,Média anual,2022,16.272,ug/m3,Fundo,urbano,-9.0669,38.6586,30.0,Lisboa (greater city)                                                           ,1872036.0,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Dióxido de azoto,Muito Bom
2518,Chamusca,O3,Média anual,2019,68.94,ug/m3,Fundo,rural,-8.4661,39.3525,143.0,,,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PT&CityName=&Pollutant=7&Year_from=2019&Year_to=2019&Station=STA-PT03096&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Ozono,Muito Bom
