,idade,genero,local,titulo,anos_de_experiencia,tamanho_da_empresa,salario_bruto_mensal,outros_beneficios,salario_processado,bins_salario
165,25-34,mulher,Porto,HR Manager,< 10 anos de experiência,25 - 50 pessoas,"1,250€",Health insurance and bonus,1250.0,menos de 2000
166,25-34,mulher,Coimbra,HR Manager,< 5 anos de experiência,25 - 50 pessoas,"1,697€","Health Insurance, Parental Leave, Employee Discounts, Stock Options and/or Equity.",1697.0,menos de 2000
167,25-34,mulher,Lisboa,HR Service Delivery Consultant,< 5 anos de experiência,100 - 200 pessoas,"1,667€", Health Insurance,1667.0,menos de 2000
168,25-34,mulher,Lisboa,HR-People Experience,< 10 anos de experiência,+ 1000 pessoas,"2,190€","1) Fix & Flexible benefits (represents ~5% of the annual gross salary and may include Health Insurance, Tuition Reimbursement, Gym Membership, Social Causes, Pension Plan etc.); 2) Employee Discounts (not related w/ benefits); 3) Benefits foreseen by law with add-ons (extra-days, paid leave, paid volunteer hours)",2190.0,2000-3999
169,25-34,mulher,Lisboa,Incident Manager,< 10 anos de experiência,+ 1000 pessoas,"1,800€","Health Insurance - extendable to the family, Parental Leave, Employee Development Programs, Employee Discounts, Gym Membership, Meal Allowance",1800.0,menos de 2000
170,35-44,homem,Porto,Information Security Director,<15 anos de experiência,51 - 100 pessoas,"4,500€","health insurance, remote work, stock options, free food, performance bonus, employee discounts, training budget, parental leave",4500.0,4000-6000
171,35-44,mulher,Lisboa,Information Security Manager,> 16 anos de experiência,+ 1000 pessoas,"2,850€","Health Insurance, Car, Fuel, Parental Leave, Employee Discounts",2850.0,2000-3999
172,25-34,mulher,Porto,Innovation Manager,< 2 anos de experiência,51 - 100 pessoas,"1,500€","Health insurance, cellphone, bonus",1500.0,menos de 2000
173,25-34,mulher,Porto,Innovation Trainee,Sem experiência,51 - 100 pessoas,"1,200€",,1200.0,menos de 2000
174,45-54,mulher,Porto,Instructional Designer,> 16 anos de experiência,+ 1000 pessoas,"2,150€","Health Insurance, Parental Leave, Employee Development Programs, Tuition Reimbursement, Employee Discounts, Gym Membership, Stock Options",2150.0,2000-3999
175,25-34,mulher,Loulé,Interior designer + design director + management,< 10 anos de experiência,1 - 10 pessoas,"2,000€","Parental leave, employee discounts ",2000.0,2000-3999
176,25-34,mulher,Porto,International Business Development Manager,< 5 anos de experiência,25 - 50 pessoas,"1,080€",Health insurance and employee development plan,1080.0,menos de 2000
177,18-24,homem,Lisboa,Internship,< 2 anos de experiência,+ 1000 pessoas,"1,550€","Free internet and TV service, Health Insurance",1550.0,menos de 2000
178,25-34,homem,Porto,iOS developer,< 5 anos de experiência,11 - 25 pessoas,"2,800€",,2800.0,2000-3999
179,25-34,mulher,Lisboa,IT administrator,< 5 anos de experiência,100 - 200 pessoas,"2,650€",,2650.0,2000-3999
180,35-44,mulher,Lisboa,IT analyst,<15 anos de experiência,+ 1000 pessoas,"1,125€","IHT 18% , health insurance, transport allownance, pension plan",1125.0,menos de 2000
181,35-44,mulher,Porto,IT Business Analyst,< 5 anos de experiência,+ 500 pessoas,"1,600€",,1600.0,menos de 2000
182,18-24,mulher,Porto,IT Business Analyst ,< 2 anos de experiência,+ 1000 pessoas,"1,600€","Health Insurance, Parental Leave, Employee Development Programs, Tuition Reimbursement, Employee Discounts, Gym Membership, Phone",1600.0,menos de 2000
183,25-34,mulher,Porto,IT Business Partner,< 2 anos de experiência,+ 1000 pessoas,"1,290€","Health insurance, free access to company products, gym membership discounts",1290.0,menos de 2000
184,25-34,mulher,Lisboa,IT Content Reviewer,< 10 anos de experiência,+ 1000 pessoas,"1,300€","Health Insurance, Meal card",1300.0,menos de 2000
185,35-44,mulher,Lisboa,IT PMO,> 16 anos de experiência,+ 1000 pessoas,"28,000€","Health insurance, gym membership, retirement fund",28000.0,mais de 6000
186,25-34,mulher,porto,IT Project Manager,< 5 anos de experiência,51 - 100 pessoas,"1,221€","health insurance, flexible schedule, yearly bonus (around a month salary)",1221.0,menos de 2000
187,25-34,mulher,Lisboa,IT Recruiter,< 5 anos de experiência,11 - 25 pessoas,"1,400€","Health insurance, ",1400.0,menos de 2000
188,25-34,mulher,Lisboa,IT Recruiter,< 2 anos de experiência,+ 500 pessoas,"1,000€","Health Insurance, Life Insurance, Meal allowance, employee discounts",1000.0,menos de 2000
189,25-34,mulher,Porto,IT Recruiter ,< 5 anos de experiência,+ 1000 pessoas,"1,500€","Meal allowance, health insurance, annual bonus, training plan ",1500.0,menos de 2000
190,25-34,mulher,Porto ,IT Recruiter ,< 5 anos de experiência,+ 1000 pessoas,"1,600€",Monthly Base + Flex Salary + Bónus + Health Insurance + Life Insurance + Cellphone and Monthly Plan + Meal Allowance + Training Plan ,1600.0,menos de 2000
191,18-24,mulher,Lisboa,IT Recruiter & Employer Branding ,< 5 anos de experiência,+ 200 pessoas,"1,100€","Health Insurance, Life Ensurance, Parental Leave, Employee Development Programs, Tuition Reimbursement, Employee Discounts, Gym Membership, Mobile Phone",1100.0,menos de 2000
192,25-34,mulher,Lisboa,IT Service Analyst,< 5 anos de experiência,100 - 200 pessoas,"1,800€","Health and Life Insurance (extended to family), Parental Leave, Employee Discounts, Mobile phone with internet and calls plan, Meal Card (7,63/Day), Transport Allowance.",1800.0,menos de 2000
193,25-34,mulher,Porto ,IT Service Manager - Finance,<15 anos de experiência,+ 1000 pessoas,"3,570€","health insurance,entitle to bonus",3570.0,2000-3999
194,35-44,homem,Porto,IT Tech Support,> 16 anos de experiência,100 - 200 pessoas,"1,630€",Health Insurance ,1630.0,menos de 2000
195,35-44,homem,Porto,IT Tech Support,> 16 anos de experiência,100 - 200 pessoas,"1,630€",Health Insurance ,1630.0,menos de 2000
196,35-44,homem,Porto,IT Tech Support,> 16 anos de experiência,100 - 200 pessoas,"1,630€",Health Insurance ,1630.0,menos de 2000
197,25-34,mulher,Lisboa,Java Developer,< 2 anos de experiência,100 - 200 pessoas,"1,150€","Health Insurance, employee discounts, gym membership (discount)",1150.0,menos de 2000
198,25-34,mulher,Lisboa,Junior Consultant,< 2 anos de experiência,+ 1000 pessoas,"1,625€","Health and Life Insurance, Employee Discounts and Development Programs",1625.0,menos de 2000
199,18-24,homem,Fundão ,Junior consultant ,< 2 anos de experiência,+ 1000 pessoas,"1,015€","Health insurance, gym discount, free formations (like French), meal allowance",1015.0,menos de 2000
200,35-44,mulher,Porto,Junior data scientist,< 2 anos de experiência,100 - 200 pessoas,"2,500€","Unlimited PTO as long as goals are achieved. Employee discounts, parental leave, unlimited online courses for personal and career development, 2 trips to USA all covered per year.",2500.0,2000-3999
201,25-34,mulher,Braga,Junior Developer,Sem experiência,51 - 100 pessoas,719€,Employee Discounts,719.0,menos de 2000
202,18-24,mulher,Lisboa,Junior Developer,< 2 anos de experiência,25 - 50 pessoas,800€,Health insurance,800.0,menos de 2000
203,25-34,mulher,Lisboa,Junior Developer,< 2 anos de experiência,+ 1000 pessoas,"1,100€","Health Insurance, Technology Certifications, Employee Discounts",1100.0,menos de 2000
204,35-44,mulher,Porto,Junior Developer,Sem experiência,+ 500 pessoas,"1168,83€","Health Insurace extended to family; extra 136,36€ that can be added to monthly gross salary (with tax imputation) or used as net value in  some optional things (children daycare etc...); employee discount in severall places they have protocol with; 2 day/week remote work option; Training and carreer development programme; free fruit and cofee ",1168.83,menos de 2000
205,25-34,mulher,Aveiro,Junior Digital Marketeer,< 5 anos de experiência,11 - 25 pessoas,700€,,700.0,menos de 2000
206,18-24,mulher,Lisboa,Junior HR Business Partner,< 5 anos de experiência,+ 1000 pessoas,"1,325€",Health Insurance,1325.0,menos de 2000
207,35-44,mulher,Lisboa,Junior Network Engineer,< 5 anos de experiência,51 - 100 pessoas,"1,500€","Health & Life Insurance, Employee Development Programs, Employee Discounts, Mobile Phone",1500.0,menos de 2000
208,25-34,mulher,Porto,Junior Programmer,< 2 anos de experiência,100 - 200 pessoas,"1,020€","Like Health Insurance, Remote work, Parental Leave",1020.0,menos de 2000
209,25-34,mulher,Braga,Junior Quality Assurance Engineer,< 10 anos de experiência,100 - 200 pessoas,"1,624€","health insurance, paid lunches and snacks (before isolation), gym discount, city center parking discount, 25 total holidays and bridge holidays, 14 month salary",1624.0,menos de 2000
210,25-34,mulher,Lisboa,Junior Software Developer,< 2 anos de experiência,+ 500 pessoas,919€,Health Insurance,919.0,menos de 2000
211,18-24,mulher,Porto,Junior software developer,< 2 anos de experiência,+ 1000 pessoas,"1,500€","Health Insurance, Parental Leave, Employee Development Programs,Employee Discounts, RSUs, Support tickets (health, education, etc)",1500.0,menos de 2000
212,35-44,mulher,Lisboa,L&D Manager,<15 anos de experiência,+ 500 pessoas,"2,000€",Health Insurance,2000.0,2000-3999
213,25-34,mulher,Lisboa,Lead Data Science Researcher,< 5 anos de experiência,+ 200 pessoas,"2,400€","Health Insurance, Parental Leave, Training Budget, Yearly bonus based on performance",2400.0,2000-3999
214,35-44,mulher,Lisboa,Lead Data Scientist,<15 anos de experiência,+ 1000 pessoas,"4,000€","Health Insurance, TV+Internet+Mobile Phone, Bonus, Employee discounts",4000.0,4000-6000
215,25-34,mulher,Cologne (Germany),Machine Learning Engineer,< 5 anos de experiência,1 - 10 pessoas,"3,500€",Unlimited vacations,3500.0,2000-3999
216,25-34,mulher,Porto,Machine Learning Engineer,< 5 anos de experiência,25 - 50 pessoas,"1,400€","health insurance, flexible working hours, food",1400.0,menos de 2000
217,25-34,mulher,Porto,Manager,< 10 anos de experiência,25 - 50 pessoas,"2,250€","Health insurance, parental leave, tuition reimbursement ",2250.0,2000-3999
218,35-44,mulher,Porto,Marketing & Communication Manager,<15 anos de experiência,+ 500 pessoas,"1,600€","Health Insurance, Parental Leave, Marriage Leave, Discounts in partners, 500€ for each child born, online gym classes, English lessons, annual bonus (evaluation), mobile phone, remote work, free fruit, coffee and water at the office, game room, garage place",1600.0,menos de 2000
219,35-44,mulher,Lisboa,Marketing & Communication Senior Manager,< 10 anos de experiência,25 - 50 pessoas,"1,800€",health insurance,1800.0,menos de 2000
220,25-34,mulher,Lisboa,Marketing Analyst ,< 2 anos de experiência,+ 1000 pessoas,"1,500€","Health Insurance, Food Allowance (7.20/day), Employee discounts, free Smartphone and Mobile Plan, Employee Dev Program",1500.0,menos de 2000
221,35-44,mulher,Porto ,Marketing and Communication Specialist,< 10 anos de experiência,+ 200 pessoas,"1,800€","Health insurance, fruit, breakfast, massages, birthday vacation. ",1800.0,menos de 2000
222,25-34,homem,Lisboa,Marketing Assistant,< 2 anos de experiência,1 - 10 pessoas,800€,,800.0,menos de 2000
223,25-34,mulher,Lisboa,Marketing Designer,< 5 anos de experiência,+ 200 pessoas,"1,250€","Discounts on gym membership and restaurants, language classes, health insurance, parental leave, marriage leave",1250.0,menos de 2000
224,35-44,mulher,Lisboa,Marketing expert,<15 anos de experiência,+ 500 pessoas,"1,900€","Like Health Insurance, Employee Development Programs, Employee Discounts",1900.0,menos de 2000
225,18-24,mulher,Lisboa,Marketing Specialist,< 2 anos de experiência,11 - 25 pessoas,"1,200€",Like Health Insurance,1200.0,menos de 2000
226,25-34,mulher,Porto,Marketing Visual Designer,< 10 anos de experiência,+ 200 pessoas,"1,600€","meal ticket, language classes.",1600.0,menos de 2000
227,25-34,homem,Lisboa,Microsoft BI consultant senior,< 5 anos de experiência,+ 1000 pessoas,"2,200€",,2200.0,2000-3999
228,35-44,mulher,Porto,Mobile QA engineer,< 5 anos de experiência,+ 200 pessoas,"1,571€","Health insurance, training",1571.0,menos de 2000
229,25-34,mulher,Porto,Multimedia Trainee,< 2 anos de experiência,11 - 25 pessoas,950€,,950.0,menos de 2000
230,35-44,mulher,Porto,Office Manager,> 16 anos de experiência,11 - 25 pessoas,"1,300€",,1300.0,menos de 2000
231,35-44,mulher,Porto,Office Manager,<15 anos de experiência,11 - 25 pessoas,"1,350€",Health insurance,1350.0,menos de 2000
232,25-34,mulher,Lisboa,Operation manager ,< 5 anos de experiência,1 - 10 pessoas,"1,300€",,1300.0,menos de 2000
233,25-34,mulher,Lisboa,Operation manager ,< 5 anos de experiência,1 - 10 pessoas,"1,300€",,1300.0,menos de 2000
234,25-34,homem,Lisboa,Operations Engineer,< 5 anos de experiência,25 - 50 pessoas,800€,Meal tickets,800.0,menos de 2000
235,18-24,mulher,Lisboa,Operations Manager,< 2 anos de experiência,1 - 10 pessoas,"1,500€","Health insurance, employee dev. programmes, discounts, training, books, flexible schedule",1500.0,menos de 2000
236,25-34,mulher,Lisboa,Operations Manager,< 5 anos de experiência,11 - 25 pessoas,"2.000,00€","Health Insurance, Parental Leave, Training Program",2000.0,2000-3999
237,25-34,mulher,Madrid,Operations Manager,< 10 anos de experiência,+ 1000 pessoas,"4,463€","Health Insurance, meals and snacks in office, monthly allowance to spend on company business + employee discount,  cell phone allowance, wellbeing allowance (for gym or related spending), yearly education allowance, 30 paid time off days + 2 personal days,  stock options",4463.0,4000-6000
238,25-34,mulher,Porto,Operations Manager,< 5 anos de experiência,+ 200 pessoas,"1,850€","health insurance, meal allowances, parental leave, discount in gym, day off on my BD",1850.0,menos de 2000
239,18-24,mulher,Porto,Operations Manager,< 5 anos de experiência,51 - 100 pessoas,"2,172€",Health Insurance ,2172.0,2000-3999
240,25-34,mulher,Lisboa,Optical engineer,< 2 anos de experiência,+ 1000 pessoas,"2,571€","Health insurance, Stock options, Retirement plan, Annual bonus",2571.0,2000-3999
241,25-34,homem,Lisboa,Outsystems Developer,< 5 anos de experiência,1 - 10 pessoas,"1,400€",,1400.0,menos de 2000
242,18-24,mulher,Lisboa,Outsystems Developer,< 2 anos de experiência,+ 1000 pessoas,"1,300€",Health Insurance,1300.0,menos de 2000
243,18-24,homem,Viseu,OutSystems Developer,< 5 anos de experiência,1 - 10 pessoas,"1,000€",,1000.0,menos de 2000
244,25-34,mulher,Lisboa,Payroll Analyst,< 5 anos de experiência,+ 1000 pessoas,"1,300€","Health Insurance, Transport Allowance, Employee Discounts",1300.0,menos de 2000
245,25-34,homem,Ovar,PCB layouter,< 5 anos de experiência,+ 500 pessoas,"2,400€","Health insurance, employee discounts, flex-time",2400.0,2000-3999
246,18-24,mulher,Lisboa,Performance Marketing Analyst,< 5 anos de experiência,+ 1000 pessoas,"1,750€","Health insurance, discount in transportation ",1750.0,menos de 2000
247,25-34,mulher,Coimbra,PhD Student,Sem experiência,+ 1000 pessoas,"1,064€","Parental Leave, Sick leave",1064.0,menos de 2000
248,35-44,mulher,Lisboa,PR Consultant,< 2 anos de experiência,25 - 50 pessoas,"2126,83","Cartão Lisbon Viva, Cartão CP",2126.83,2000-3999
249,35-44,mulher,Lisboa,Procurement Manager,<15 anos de experiência,+ 1000 pessoas,"3,100€","Health Insurance, Employee Discounts",3100.0,2000-3999
250,25-34,mulher,Porto,Product Design Lead,<15 anos de experiência,+ 500 pessoas,"2,950€","Stock options, Paid transport expenses, health insurance",2950.0,2000-3999
251,25-34,mulher,Coimbra,Product Designer,< 5 anos de experiência,1 - 10 pessoas,"1,043€",Company Library and budget to attend conferences and workshops,1043.0,menos de 2000
252,25-34,mulher,Lisboa,Product Designer,< 10 anos de experiência,+ 1000 pessoas,"4,368€","Health Insurance & Stock Options & Mobile Phone; Optional: Employee discounts, gym membership, parental leave, food, coffee, car & gas",4368.0,4000-6000
253,25-34,mulher,Lisboa,Product Designer,< 10 anos de experiência,+ 1000 pessoas,"1,893€","Cellphone, computer, health insurance, life insurance, parental leave, public transportation paid, gym membership, employee discounts, work related expenses paid, employee development programs, remote option",1893.0,menos de 2000
254,35-44,mulher,Lisboa,Product Designer,<15 anos de experiência,+ 500 pessoas,"2,400€","health insurance, private pension (retirement options), learning budget, discount on gym, 2 extra months maternity leave, extra day off depending years in company",2400.0,2000-3999
255,35-44,homem,Lisboa,Product Designer,< 5 anos de experiência,+ 1000 pessoas,"1,750€","Health insurance, meal subsidy, vacation allowance (Christmas and Summer)",1750.0,menos de 2000
256,25-34,mulher,Porto,Product Designer,< 10 anos de experiência,+ 500 pessoas,"2,900€","Health Insurance, Parental Leave, Mobile Phone Plan, Extra Vacation Days, and some paternship with gyms and other services",2900.0,2000-3999
257,25-34,mulher,Porto,Product Designer,< 10 anos de experiência,25 - 50 pessoas,"3,100€","Health Insurance, Parental Leave, Equity/Stocks, Training/Workshop Budget, Conferences Budget, Doctor at the office",3100.0,2000-3999
258,25-34,mulher,Porto,Product Designer,< 2 anos de experiência,+ 1000 pessoas,"1,800€",Health Insurance,1800.0,menos de 2000
259,18-24,mulher,Porto,Product Designer,< 5 anos de experiência,11 - 25 pessoas,"1,600€",,1600.0,menos de 2000
260,25-34,mulher,Berlin,Product Designer,< 5 anos de experiência,+ 1000 pessoas,"5,480€","Stock Options, Employee Discount.",5480.0,4000-6000
261,25-34,mulher,France/ Fully distributed,Product designer,< 10 anos de experiência,1 - 10 pessoas,"5,000$",,4746.3,4000-6000
262,25-34,mulher,Barcelona,Product Manager,< 10 anos de experiência,+ 200 pessoas,"4,150€","Like Health Insurance, Employee Development Programs, Employee Discounts, Equity, Free Lunches",4150.0,4000-6000
263,25-34,mulher,Dublin,Product Manager,< 10 anos de experiência,+ 500 pessoas,"6,833€","Unlimited holidays, free food (breakfast, lunch, dinner), gym allowance, transport allowance, health insurance",6833.0,mais de 6000
264,25-34,mulher,Lisboa,Product Manager,< 10 anos de experiência,+ 200 pessoas,"4,286€","Health care, Discounts at partners (pharmacy, restaurants, gym, etc), food at the office, access to free leisure activities",4286.0,4000-6000
265,25-34,mulher,Lisboa,Product Manager,< 2 anos de experiência,+ 200 pessoas,"1,857€",,1857.0,menos de 2000
266,25-34,mulher,Lisboa,Product Manager,< 10 anos de experiência,+ 500 pessoas,"3,500€","Health insurance, training budget, parental leave, snacks at the office",3500.0,2000-3999
267,35-44,homem,Lisboa,Product Manager,<15 anos de experiência,+ 1000 pessoas,"3,800€","Company car, Gas Allowance, Health Insurance, Office Perks",3800.0,2000-3999
268,25-34,mulher,Lisboa,Product Manager,<15 anos de experiência,+ 1000 pessoas,"1,700€","Health Insurance, Company car & gas and Quarterly Bonus ",1700.0,menos de 2000
269,25-34,mulher,London,Product Manager,< 10 anos de experiência,25 - 50 pessoas,"£ 5,500","Health Insurance, Parental Leave, Employee Development Budget, Stock Options",6430.08,mais de 6000
270,25-34,mulher,Madrid,Product Manager,< 10 anos de experiência,+ 1000 pessoas,"3,541€","Parental leave, employee discounts",3541.0,2000-3999
271,25-34,mulher,Porto,Product Manager,< 2 anos de experiência,+ 1000 pessoas,"2,400€","Employee discounts, Stock options, Health insurance, free transportation, bonus to alocate on some expenses (like Gym, education, Medical Care, etc.)",2400.0,2000-3999
272,25-34,mulher,Lisboa,Product Manager,< 2 anos de experiência,+ 500 pessoas,"1,650€","health insurance, employee discounts, gym partnerships, stock equity, parental leave, free cosmetic products",1650.0,menos de 2000
273,35-44,mulher,Porto,Product Manager,< 10 anos de experiência,+ 1000 pessoas,"3,150€","health insurance, stock options, employee discounts, extra days-off ",3150.0,2000-3999
274,35-44,mulher,Lisboa,Product Manager ,<15 anos de experiência,+ 1000 pessoas,"4,000€"," Health Insurance, Employee Development Programs,  Employee Discounts, Gym Membership, Stock Options ",4000.0,4000-6000
275,35-44,mulher,Lisboa,Product Manager ,< 10 anos de experiência,+ 500 pessoas,"3,530€",Health insurance,3530.0,2000-3999
276,25-34,mulher,Porto,Product Manager (associate),< 2 anos de experiência,+ 1000 pessoas,"1,500€","Health Insurance, Equity, Bonus, Benefits, Parental leave, Extra days off, Employee discounts",1500.0,menos de 2000
277,35-44,mulher,Braga,Product Owner,> 16 anos de experiência,25 - 50 pessoas,"2,500€","Health Insurance, meals (in addition to the lunch allowance), snacks, more 3 days vacation, mobile budget",2500.0,2000-3999
278,35-44,homem,Lisboa,Product Owner,< 10 anos de experiência,+ 1000 pessoas,"3,500€",,3500.0,2000-3999
279,25-34,mulher,Lisboa,Product Owner,< 5 anos de experiência,+ 1000 pessoas,"2,300€",Health Insurance,2300.0,2000-3999
280,18-24,mulher,Porto,Product Owner,< 5 anos de experiência,51 - 100 pessoas,"2,150€","Health insurance, +2 vacation days",2150.0,2000-3999
281,25-34,mulher,Porto,Product Owner,< 5 anos de experiência,+ 500 pessoas,"1,750€","Health insurance, annual bonus, food (breakfast, snacks), discount partnerships, food allowance (7.23€ p/day) ",1750.0,menos de 2000
282,25-34,mulher,Lisboa,Product Owner ,<15 anos de experiência,+ 1000 pessoas,"3,813€","Health Insurance, Car, Fuel Allowance (60€/month), Communications allowance (40€/month), Stock Options, Training and Food Allowance - 7.63€/day",3813.0,2000-3999
283,25-34,mulher,New York,Product Strategy Lead,< 10 anos de experiência,+ 1000 pessoas,"$13,750","Like Health Insurance, Parental Leave, Employee Development Programs, Tuition Reimbursement, Employee Discounts, Gym Membership, Stock Options and Equity ",13050.81,mais de 6000
284,35-44,homem,Lisboa,Program Manager,<15 anos de experiência,+ 1000 pessoas,"3,850€",,3850.0,2000-3999
285,25-34,mulher,Porto,Program Manager,< 5 anos de experiência,11 - 25 pessoas,"1,220€",Health insurance,1220.0,menos de 2000
286,18-24,homem,Lisboa,Project Engineer,< 2 anos de experiência,+ 200 pessoas,"2,800€",Health Insurance,2800.0,2000-3999
287,25-34,mulher,Lisboa,Project Manager,< 5 anos de experiência,11 - 25 pessoas,"1,350€","Lunch, health insurance, flexible schedule, non-fixed leave without pay ",1350.0,menos de 2000
288,25-34,mulher,Lisboa,Project Manager,< 5 anos de experiência,11 - 25 pessoas,"1,300€","health insurance, meal allowance, bonus",1300.0,menos de 2000
289,25-34,mulher,Lisboa,Project Manager,< 5 anos de experiência,+ 200 pessoas,"1,950€","Health Insurance, Employee Discounts (Gym, Hotels etc)",1950.0,menos de 2000
290,18-24,mulher,London,Project Manager,< 2 anos de experiência,+ 1000 pessoas,"2,500€","Health Insurance, Parental Leave, Employee Development Programs, Employee Discounts, Gym Membership, Stock Options",2500.0,2000-3999
291,25-34,mulher,Porto,Project Manager,<15 anos de experiência,25 - 50 pessoas,"2,600€",Health insurance,2600.0,2000-3999
292,25-34,mulher,Porto,Project Manager,< 10 anos de experiência,51 - 100 pessoas,"4,000€",,4000.0,4000-6000
293,25-34,mulher,Porto,Project Manager,< 5 anos de experiência,25 - 50 pessoas,"2,100€",Car and bonus,2100.0,2000-3999
294,25-34,mulher,Lisboa,Project Manager,< 5 anos de experiência,+ 1000 pessoas,"2,800€","Health Insurance, Parental Leave",2800.0,2000-3999
295,25-34,mulher,Porto,Project Manager,< 10 anos de experiência,25 - 50 pessoas,"3,100€","Health Insurance, Employee Development Programs",3100.0,2000-3999
296,25-34,mulher,Porto,Project Manager,< 5 anos de experiência,51 - 100 pessoas,"1,650€","3 extra vacation days, Health insurance plan, Mobile phone plan, Flexible schedule, Yearly bonus (around a month salary).",1650.0,menos de 2000
297,25-34,mulher,Lisboa,Project Manager,<15 anos de experiência,+ 1000 pessoas,"2,850€","Paid internet, tv and phone, health insurrance",2850.0,2000-3999
298,45-54,mulher,Porto,Projet Manager,> 16 anos de experiência,25 - 50 pessoas,"1,517€",215€ and phone,1517.0,menos de 2000
299,35-44,mulher,Porto,Purchasing Manager,< 10 anos de experiência,+ 1000 pessoas,"2,370€",Health insurance,2370.0,2000-3999
300,35-44,mulher,Braga,Purchasing Project Management ,<15 anos de experiência,+ 1000 pessoas,"1,640€","Health Insurance, Employee Discounts. Parental Leave as a right by law",1640.0,menos de 2000
301,18-24,mulher,Porto,QA Analyst,Sem experiência,+ 200 pessoas,"1,600€","Health Insurance, Mobile Allowance",1600.0,menos de 2000
302,25-34,homem,Lisboa,QA Engineer,< 10 anos de experiência,+ 200 pessoas,"1,550€","Health Insurance, Employee Development Programs, Receive Travel Expenses",1550.0,menos de 2000
303,25-34,mulher,Porto,QA Engineer,< 2 anos de experiência,25 - 50 pessoas,600€,Health Insurance,600.0,menos de 2000
304,25-34,mulher,Lisboa,QA Engineer,< 5 anos de experiência,+ 200 pessoas,"2,953€","Health insurance, parental leave, employee development programs, public transportation monthly pass, employee discounts, 3 additional vacation days after a year",2953.0,2000-3999
305,35-44,mulher,Aveiro,QA Manager,< 10 anos de experiência,+ 500 pessoas,"3,100€","Health Insurance, Employee Development Programs, Stock options, public transports fee",3100.0,2000-3999
306,35-44,mulher,Lisboa,"QA Manager, Software Developer",<15 anos de experiência,51 - 100 pessoas,"1,900€","Health Insurance, Parental Leave, Pharmacy discounts, restaurant discount",1900.0,menos de 2000
307,25-34,mulher,Lisboa,QA tester,< 2 anos de experiência,+ 200 pessoas,"1,100€","Employee Discounts, Gym Membership, premiums by performance",1100.0,menos de 2000
308,25-34,mulher,Porto,Quality Assurance Lead,< 5 anos de experiência,25 - 50 pessoas,"3,100€","Health Insurance to all family, meal card, remote work",3100.0,2000-3999
309,25-34,mulher,Porto,Quality planner,< 2 anos de experiência,+ 500 pessoas,"1,600€","Doctor on site, German and English teachers on site and development programs",1600.0,menos de 2000
310,25-34,mulher,Coimbra,Recruitment lead,< 10 anos de experiência,100 - 200 pessoas,"3,150€",Health Insurance.,3150.0,2000-3999
311,25-34,mulher,Lisboa,Research Scientist,< 5 anos de experiência,+ 1000 pessoas,"2,400€",,2400.0,2000-3999
312,35-44,mulher,Carnaxide,Responsável de Recrutamento e Comunicação Interna,< 10 anos de experiência,+ 500 pessoas,"1,500€",Health Insurance,1500.0,menos de 2000
313,25-34,mulher,Lisboa,Reverse Logistics Manager,< 2 anos de experiência,+ 500 pessoas,"1,020€","Health Insurance, Gym Membership",1020.0,menos de 2000
314,25-34,mulher,Porto,Rockstart Developer,< 5 anos de experiência,+ 500 pessoas,"1,300€","Health Insurance, employee development program",1300.0,menos de 2000
315,25-34,mulher,Lisboa,Sales ,< 5 anos de experiência,100 - 200 pessoas,"4,400€","Health insurance, parental leave, employee development programs, stock options, employee discounts, breakfast and lunch for free and snacks, massages, personal workspace allowance",4400.0,4000-6000
316,25-34,mulher,Porto ,Sales and Marketing assistant,< 10 anos de experiência,+ 1000 pessoas,"1,705€","health insurance, meal allowance, unlimited home office, development programs,",1705.0,menos de 2000
317,35-44,mulher,Braga,Sales Manager,<15 anos de experiência,11 - 25 pessoas,"1,100€","
Flexible schedule, free birthday, snacks, sickness allowance supplement.",1100.0,menos de 2000
318,18-24,homem,Lisboa,Salesforce Developer,< 2 anos de experiência,+ 1000 pessoas,"1,200€","Health Insurance, Employee Development Programs, Phone, Employee Discounts",1200.0,menos de 2000
319,25-34,mulher,Lisboa,Salesforce Developer,< 5 anos de experiência,100 - 200 pessoas,"1,650€","Health Insurance, Plan Mobile Phone, Meal card",1650.0,menos de 2000
320,18-24,homem,Lisboa,Salesforce developer,< 2 anos de experiência,+ 1000 pessoas,"1,200€","Health Insurance, Employee Development Programs",1200.0,menos de 2000
321,25-34,mulher,Lisboa,Salesforce Senior Consultant / Business Analyst,< 5 anos de experiência,+ 200 pessoas,"2,070€","Cost help (3300 per year, to be divided as I want on a monthly basis); health insurance (for which I pay ~90eur/year); 100€ voucher with Vodafone for buying a phone upon my entrance; mobile phone package",2070.0,2000-3999
322,25-34,mulher,Odivelas,SAP ABAP Developer,< 10 anos de experiência,51 - 100 pessoas,"2,700€","Health Insurance, Free Parking",2700.0,2000-3999
323,25-34,mulher,Lisboa,SAP Consultant,< 10 anos de experiência,100 - 200 pessoas,"2,500€",,2500.0,2000-3999
324,25-34,mulher,Lisboa,SAP Development consultant,< 5 anos de experiência,+ 1000 pessoas,"1,500€","Health insurance, Parental Leave, Gym membership discounts, Stock Options",1500.0,menos de 2000
325,18-24,homem,Lisboa,SAP SuccessFactors Consultant,< 2 anos de experiência,100 - 200 pessoas,"1,200€",Life issurance,1200.0,menos de 2000
