Período;Região;Instituição;Localização Geográfica;Nº Total de Partos;Nº Cesarianas
2022-02;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754,-8.8818638;190;47
2022-02;Região de Saúde LVT;Hospital de Cascais, PPP;38.729006,-9.418267;350;123
2022-02;Região de Saúde LVT;Hospital de Vila Franca de Xira, EPE;38.977235,-8.984506;246;87
2022-02;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056,-8.6010558;328;107
2022-03;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861,-7.9032848;245;105
2022-03;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123,-7.8721227;238;80
2022-03;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523,-8.4098211;1028;305
2022-03;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916,-7.2734793;102;43
2022-03;Região de Saúde Norte;Hospital de Braga, EPE;41.56785,-8.398982;670;215
2022-03;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456,-8.6745115;414;94
2022-04;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523,-8.4098211;1379;398
2022-04;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005,-9.0592392;487;143
2022-04;Região de Saúde LVT;Centro Hospitalar do Oeste, EPE;39.4054629,-9.1258493;392;123
2022-04;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257,-9.2264834;746;243
2022-04;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711,-8.7589945;414;156
2022-04;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138,-8.5972617;505;157
2013-01;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158,-7.4922407;65;24
2013-01;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754,-8.8818638;143;43
2013-01;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713,-9.1822554;217;57
2013-01;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711,-8.7589945;75;33
2013-01;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561,-8.264901;192;57
2013-01;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138,-8.5972617;154;61
2013-02;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425,-7.4263845;100;37
2013-02;Região de Saúde do Centro;Centro Hospitalar de Leiria, EPE;39.7414812,-8.7982706;271;80
2013-02;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364,-8.0827433;285;88
2013-02;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263,-7.4981271;68;19
2013-02;Região de Saúde LVT;Centro Hospitalar do Oeste, EPE;39.4054629,-9.1258493;268;77
2013-02;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte, EPE;38.7500861,-9.1616116;350;96
2013-02;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072,-8.5404429;127;38
2013-02;Região de Saúde LVT;Hospital de Loures, PPP;38.821455,-9.176296;342;80
2013-02;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713,-9.1822554;382;107
2013-02;Região de Saúde Norte;Centro Hospitalar do Médio Ave, EPE;41.3423984,-8.4802503;209;93
2013-02;Região de Saúde Norte;Centro Hospitalar Entre Douro e Vouga, EPE;40.9293884,-8.5458794;264;52
2013-02;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561,-8.264901;367;101
2013-02;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456,-8.6745115;242;68
2013-03;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454,-9.216985;570;194
2013-03;Região de Saúde LVT;Hospital de Loures, PPP;38.821455,-9.176296;522;117
2013-03;Região de Saúde LVT;Hospital Distrital de Santarém, EPE;39.2410946,-8.6937515;301;100
2013-03;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713,-9.1822554;594;155
2013-03;Região de Saúde Norte;Centro Hospitalar Entre Douro e Vouga, EPE;40.9293884,-8.5458794;398;90
2013-03;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456,-8.6745115;359;104
2013-04;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861,-7.9032848;354;117
2013-04;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve,EPE;37.0238973,-7.9281554;1098;361
2013-04;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364,-8.0827433;626;189
2013-04;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948,-9.1371248;1213;351
2013-04;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754,-8.8818638;511;152
2013-04;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056,-8.6010558;781;206
2013-04;Região de Saúde Norte;Centro Hospitalar do Alto Ave, EPE;41.4387173,-8.3086907;638;208
2013-04;Região de Saúde Norte;Centro Hospitalar do Médio Ave, EPE;41.3423984,-8.4802503;405;168
2013-04;Região de Saúde Norte;Centro Hospitalar Entre Douro e Vouga, EPE;40.9293884,-8.5458794;539;126
2013-04;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711,-8.7589945;259;91
2013-04;Região de Saúde Norte;Hospital de Braga, PPP;41.56785,-8.398982;796;251
2013-05;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425,-7.4263845;227;79
2013-05;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158,-7.4922407;253;86
2013-05;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453,-8.6543716;709;226
2013-05;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364,-8.0827433;792;233
2013-05;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916,-7.2734793;241;89
2013-05;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948,-9.1371248;1510;444
2013-05;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072,-8.5404429;319;92
2013-05;Região de Saúde Norte;Centro Hospitalar do Médio Ave, EPE;41.3423984,-8.4802503;511;204
2013-05;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711,-8.7589945;323;108
2013-05;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054,-8.8252713;590;177
2013-05;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532,-6.7888197;208;77
2013-06;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861,-7.9032848;537;187
2013-06;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948,-9.1371248;1812;536
2013-06;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072,-8.5404429;371;103
2013-06;Região de Saúde LVT;Hospital Distrital de Santarém, EPE;39.2410946,-8.6937515;566;179
2013-06;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561,-8.264901;1114;300
2013-06;Região de Saúde Norte;Hospital de Braga, PPP;41.56785,-8.398982;1233;366
2013-06;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456,-8.6745115;693;203
2013-07;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158,-7.4922407;351;106
2013-07;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364,-8.0827433;1108;335
2013-07;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454,-9.216985;1365;458
2013-07;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte, EPE;38.7500861,-9.1616116;1276;352
2013-07;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072,-8.5404429;447;126
2013-07;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.977235,-8.984506;627;184
2013-07;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561,-8.264901;1301;350
2013-08;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158,-7.4922407;410;120
2013-08;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754,-8.8818638;1044;318
2013-08;Região de Saúde LVT;Hospital de Loures, PPP;38.821455,-9.176296;1368;301
2013-08;Região de Saúde LVT;Hospital Distrital de Santarém, EPE;39.2410946,-8.6937515;782;242
2013-08;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257,-9.2264834;1738;637
2013-08;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054,-8.8252713;974;299
2013-09;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861,-7.9032848;839;306
2013-09;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453,-8.6543716;1259;380
2013-09;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523,-8.4098211;3626;1057
2013-09;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364,-8.0827433;1450;431
2013-09;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916,-7.2734793;428;154
2013-09;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263,-7.4981271;282;78
2013-09;Região de Saúde LVT;Hospital de Cascais, PPP;38.729006,-9.418267;1712;533
2013-09;Região de Saúde LVT;Hospital de Loures, PPP;38.821455,-9.176296;1581;341
2013-09;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138,-8.5972617;1234;464
2013-09;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456,-8.6745115;1055;314
2013-09;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532,-6.7888197;390;160
2013-10;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861,-7.9032848;936;353
2013-10;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158,-7.4922407;513;146
2013-10;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948,-9.1371248;3070;906
2013-10;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056,-8.6010558;2044;527
2013-11;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861,-7.9032848;1043;398
2013-11;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263,-7.4981271;346;94
2013-11;Região de Saúde LVT;Centro Hospitalar do Oeste, EPE;39.4054629,-9.1258493;1464;406
2013-11;Região de Saúde LVT;Hospital de Cascais, PPP;38.729006,-9.418267;2108;633
2013-11;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.977235,-8.984506;1048;321
2013-11;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498,-8.6172617;2628;971
2013-11;Região de Saúde Norte;Centro Hospitalar Entre Douro e Vouga, EPE;40.9293884,-8.5458794;1604;418
2013-11;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;41.3031784,-7.7515252;1270;512
2013-12;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453,-8.6543716;1691;500
2013-12;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948,-9.1371248;3660;1093
2013-12;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754,-8.8818638;1608;482
2013-12;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713,-9.1822554;2509;560
2013-12;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056,-8.6010558;2452;639
2013-12;Região de Saúde Norte;Centro Hospitalar do Alto Ave, EPE;41.4387173,-8.3086907;2034;631
2013-12;Região de Saúde Norte;Centro Hospitalar Entre Douro e Vouga, EPE;40.9293884,-8.5458794;1734;462
2013-12;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054,-8.8252713;1513;453
2014-01;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861,-7.9032848;75;31
2014-01;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754,-8.8818638;118;33
2014-01;Região de Saúde LVT;Centro Hospitalar do Oeste, EPE;39.4054629,-9.1258493;130;37
2014-01;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte, EPE;38.7500861,-9.1616116;187;60
2014-01;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072,-8.5404429;62;13
2014-01;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.977235,-8.984506;86;25
2014-01;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257,-9.2264834;226;72
2014-01;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713,-9.1822554;165;38
2014-01;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711,-8.7589945;56;21
2014-01;Região de Saúde Norte;Hospital de Braga, PPP;41.56785,-8.398982;213;73
2014-02;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453,-8.6543716;270;63
2014-02;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523,-8.4098211;728;203
2014-02;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916,-7.2734793;89;36
2014-02;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263,-7.4981271;63;22
2014-02;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948,-9.1371248;575;186
2014-02;Região de Saúde LVT;Hospital de Loures, PPP;38.821455,-9.176296;386;81
2014-03;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123,-7.8721227;248;54
2014-03;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve,EPE;37.0238973,-7.9281554;799;207
2014-03;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158,-7.4922407;125;39
2014-03;Região de Saúde do Centro;Centro Hospitalar de Leiria, EPE;39.7414812,-8.7982706;407;149
2014-03;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523,-8.4098211;1063;296
2014-03;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916,-7.2734793;157;65
2014-03;Região de Saúde LVT;Centro Hospitalar do Oeste, EPE;39.4054629,-9.1258493;348;93
2014-03;Região de Saúde LVT;Hospital Distrital de Santarém, EPE;39.2410946,-8.6937515;250;67
2014-03;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713,-9.1822554;575;139
2014-03;Região de Saúde Norte;Centro Hospitalar do Alto Ave, EPE;41.4387173,-8.3086907;466;170
2014-03;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;41.3031784,-7.7515252;269;90
2014-03;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138,-8.5972617;391;120
2014-03;Região de Saúde Norte;Hospital de Braga, PPP;41.56785,-8.398982;583;179
2014-03;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532,-6.7888197;129;51
2014-04;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve,EPE;37.0238973,-7.9281554;1045;267
2014-04;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158,-7.4922407;152;46
2014-04;Região de Saúde do Centro;Centro Hospitalar de Leiria, EPE;39.7414812,-8.7982706;541;188
2014-04;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453,-8.6543716;504;120
2014-04;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523,-8.4098211;1421;388
2014-04;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364,-8.0827433;569;153
2014-04;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005,-9.0592392;472;150
2014-04;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948,-9.1371248;1085;333
2014-04;Região de Saúde LVT;Centro Hospitalar do Oeste, EPE;39.4054629,-9.1258493;464;120
2014-04;Região de Saúde Norte;Centro Hospitalar do Alto Ave, EPE;41.4387173,-8.3086907;595;202
2014-04;Região de Saúde Norte;Centro Hospitalar do Médio Ave, EPE;41.3423984,-8.4802503;393;106
2014-04;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711,-8.7589945;222;70
2014-04;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456,-8.6745115;475;127
2014-05;Região de Saúde do Centro;Centro Hospitalar de Leiria, EPE;39.7414812,-8.7982706;680;224
2014-05;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916,-7.2734793;243;98
2014-05;Região de Saúde LVT;Centro Hospitalar do Oeste, EPE;39.4054629,-9.1258493;594;158
2014-05;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072,-8.5404429;312;94
2014-05;Região de Saúde LVT;Hospital de Cascais, PPP;38.729006,-9.418267;923;256
2014-05;Região de Saúde LVT;Hospital de Loures, PPP;38.821455,-9.176296;901;183
2014-05;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.977235,-8.984506;518;125
2014-05;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713,-9.1822554;961;233
2014-05;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056,-8.6010558;1003;268
2014-05;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456,-8.6745115;597;156
2014-05;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532,-6.7888197;214;81
2014-06;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364,-8.0827433;877;237
2014-06;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte, EPE;38.7500861,-9.1616116;1060;279
2014-06;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072,-8.5404429;376;106
2014-06;Região de Saúde LVT;Hospital de Cascais, PPP;38.729006,-9.418267;1103;317
2014-06;Região de Saúde LVT;Hospital Distrital de Santarém, EPE;39.2410946,-8.6937515;544;143
2014-06;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498,-8.6172617;1257;382
2014-06;Região de Saúde Norte;Centro Hospitalar Entre Douro e Vouga, EPE;40.9293884,-8.5458794;799;186
2014-07;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916,-7.2734793;337;131
2014-07;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263,-7.4981271;195;57
2014-07;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948,-9.1371248;2020;609
2014-07;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072,-8.5404429;443;230
2014-07;Região de Saúde Norte;Hospital de Braga, PPP;41.56785,-8.398982;1454;440
2014-08;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453,-8.6543716;1056;247
2014-08;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005,-9.0592392;977;323
2014-08;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte, EPE;38.7500861,-9.1616116;1448;374
2014-08;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.977235,-8.984506;872;205
2014-08;Região de Saúde LVT;Hospital Distrital de Santarém, EPE;39.2410946,-8.6937515;754;202
2014-08;Região de Saúde Norte;Centro Hospitalar Entre Douro e Vouga, EPE;40.9293884,-8.5458794;1083;248
2014-08;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711,-8.7589945;457;161
2014-08;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561,-8.264901;1491;395
2014-09;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861,-7.9032848;764;274
2014-09;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123,-7.8721227;771;166
2014-09;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158,-7.4922407;412;116
2014-09;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005,-9.0592392;1103;364
2014-09;Região de Saúde LVT;Centro Hospitalar do Oeste, EPE;39.4054629,-9.1258493;1137;315
2014-09;Região de Saúde LVT;Hospital de Cascais, PPP;38.729006,-9.418267;1700;466
2014-09;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257,-9.2264834;1980;597
2014-09;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561,-8.264901;1711;451
2014-09;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138,-8.5972617;1219;372
2014-09;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532,-6.7888197;407;156
2014-10;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453,-8.6543716;1340;322
2014-10;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523,-8.4098211;3934;1084
2014-10;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005,-9.0592392;1223;405
2014-10;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948,-9.1371248;3014;931
2014-10;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454,-9.216985;1911;552
2014-10;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257,-9.2264834;2206;673
2014-10;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138,-8.5972617;1368;422
2014-11;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523,-8.4098211;4313;1184
2014-11;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754,-8.8818638;1514;428
2014-11;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte, EPE;38.7500861,-9.1616116;2022;525
2014-11;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072,-8.5404429;729;208
2014-11;Região de Saúde Norte;Centro Hospitalar do Médio Ave, EPE;41.3423984,-8.4802503;1131;368
2014-11;Região de Saúde Norte;Centro Hospitalar Entre Douro e Vouga, EPE;40.9293884,-8.5458794;1502;360
2014-12;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425,-7.4263845;519;127
2014-12;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158,-7.4922407;562;150
2014-12;Região de Saúde do Centro;Centro Hospitalar de Leiria, EPE;39.7414812,-8.7982706;1842;567
2014-12;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453,-8.6543716;1627;410
2014-12;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364,-8.0827433;1796;447
2014-12;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.977235,-8.984506;1437;350
2014-12;Região de Saúde Norte;Centro Hospitalar do Médio Ave, EPE;41.3423984,-8.4802503;1238;412
2014-12;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498,-8.6172617;2778;829
2015-01;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523,-8.4098211;402;119
2015-01;Região de Saúde LVT;Hospital de Loures, PPP;38.821455,-9.176296;186;49
2015-01;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.977235,-8.984506;131;27
2015-01;Região de Saúde Norte;Centro Hospitalar do Médio Ave, EPE;41.3423984,-8.4802503;108;40
2015-01;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498,-8.6172617;250;70
2015-01;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561,-8.264901;199;49
2015-01;Região de Saúde Norte;Hospital da Senhora da Oliveira, Guimarães, EPE;41.4387173,-8.3086907;160;50
2015-02;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123,-7.8721227;146;39
2015-02;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072,-8.5404429;129;43
2015-02;Região de Saúde Norte;Centro Hospitalar do Médio Ave, EPE;41.3423984,-8.4802503;188;72
2015-02;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711,-8.7589945;109;40
2015-02;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;41.3031784,-7.7515252;199;74
2015-03;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158,-7.4922407;155;39
2015-03;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364,-8.0827433;430;88
2015-03;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056,-8.6010558;583;166
2015-03;Região de Saúde Norte;Hospital de Braga, PPP;41.56785,-8.398982;659;200
2015-03;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456,-8.6745115;343;88
2015-03;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532,-6.7888197;118;54
2015-04;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364,-8.0827433;555;122
2015-04;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916,-7.2734793;175;47
2015-04;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte, EPE;38.7500861,-9.1616116;723;178
2015-04;Região de Saúde LVT;Hospital de Cascais, PPP;38.729006,-9.418267;811;220
2015-04;Região de Saúde LVT;Hospital Distrital de Santarém, EPE;39.2410946,-8.6937515;382;105
2015-04;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257,-9.2264834;834;257
2015-04;Região de Saúde Norte;Centro Hospitalar do Médio Ave, EPE;41.3423984,-8.4802503;388;140
2015-04;Região de Saúde Norte;Hospital da Senhora da Oliveira, Guimarães, EPE;41.4387173,-8.3086907;577;184
2015-04;Região de Saúde Norte;Hospital de Braga, PPP;41.56785,-8.398982;875;266
2015-05;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454,-9.216985;917;266
2015-05;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498,-8.6172617;1267;336
2015-05;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;41.3031784,-7.7515252;536;196
2015-05;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054,-8.8252713;570;137
2015-06;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158,-7.4922407;290;83
