,período,região,instituição,localização_geográfica,total_partos,total_cesarianas,ano,mês,partos_mês,cesarianas_mês,percent_cesarianas_mês,percent_cesarianas_ano
331,2017-01,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158,-7.4922407",45,17,2017,1,45.0,17.0,37.8,não aplicável
1986,2017-02,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158,-7.4922407",85,30,2017,2,40.0,13.0,32.5,não aplicável
1201,2017-03,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158,-7.4922407",132,49,2017,3,47.0,19.0,40.4,não aplicável
349,2017-04,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158,-7.4922407",172,69,2017,4,40.0,20.0,50.0,não aplicável
1216,2017-05,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158,-7.4922407",214,87,2017,5,42.0,18.0,42.9,não aplicável
368,2017-06,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158,-7.4922407",264,108,2017,6,50.0,21.0,42.0,não aplicável
2890,2017-07,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158,-7.4922407",302,120,2017,7,38.0,12.0,31.6,não aplicável
1237,2017-08,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158,-7.4922407",358,139,2017,8,56.0,19.0,33.9,não aplicável
3706,2017-09,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158,-7.4922407",405,154,2017,9,47.0,15.0,31.9,não aplicável
2047,2017-10,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158,-7.4922407",448,168,2017,10,43.0,14.0,32.6,não aplicável
3725,2017-11,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158,-7.4922407",500,185,2017,11,52.0,17.0,32.7,não aplicável
410,2017-12,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158,-7.4922407",543,196,2017,12,43.0,11.0,25.6,36.1
422,2018-01,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158,-7.4922407",54,21,2018,1,54.0,21.0,38.9,não aplicável
3746,2018-02,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158,-7.4922407",90,35,2018,2,36.0,14.0,38.9,não aplicável
3751,2018-03,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158,-7.4922407",135,49,2018,3,45.0,14.0,31.1,não aplicável
3754,2018-04,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158,-7.4922407",174,63,2018,4,39.0,14.0,35.9,não aplicável
1295,2018-05,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158,-7.4922407",220,80,2018,5,46.0,17.0,37.0,não aplicável
460,2018-06,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158,-7.4922407",273,102,2018,6,53.0,22.0,41.5,não aplicável
2973,2018-07,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158,-7.4922407",319,119,2018,7,46.0,17.0,37.0,não aplicável
2980,2018-08,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158,-7.4922407",365,134,2018,8,46.0,15.0,32.6,não aplicável
1321,2018-09,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158,-7.4922407",407,151,2018,9,42.0,17.0,40.5,não aplicável
494,2018-10,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158,-7.4922407",449,167,2018,10,42.0,16.0,38.1,não aplicável
3001,2018-11,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158,-7.4922407",499,183,2018,11,50.0,16.0,32.0,não aplicável
1345,2018-12,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158,-7.4922407",534,197,2018,12,35.0,14.0,40.0,36.9
3835,2019-01,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158,-7.4922407",30,7,2019,1,30.0,7.0,23.3,não aplicável
527,2019-02,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158,-7.4922407",62,18,2019,2,32.0,11.0,34.4,não aplicável
3856,2019-03,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158,-7.4922407",101,28,2019,3,39.0,10.0,25.6,não aplicável
1376,2019-04,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158,-7.4922407",136,40,2019,4,35.0,12.0,34.3,não aplicável
547,2019-05,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158,-7.4922407",167,47,2019,5,31.0,7.0,22.6,não aplicável
3045,2019-06,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158,-7.4922407",203,60,2019,6,36.0,13.0,36.1,não aplicável
1397,2019-07,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158,-7.4922407",248,78,2019,7,45.0,18.0,40.0,não aplicável
567,2019-08,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158,-7.4922407",287,89,2019,8,39.0,11.0,28.2,não aplicável
1419,2019-09,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158,-7.4922407",325,106,2019,9,38.0,17.0,44.7,não aplicável
3068,2019-10,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158,-7.4922407",361,118,2019,10,36.0,12.0,33.3,não aplicável
3919,2019-11,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158,-7.4922407",401,138,2019,11,40.0,20.0,50.0,não aplicável
1439,2019-12,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158,-7.4922407",446,157,2019,12,45.0,19.0,42.2,35.2
1448,2020-01,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158,-7.4922407",56,18,2020,1,56.0,18.0,32.1,não aplicável
2241,2020-02,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158,-7.4922407",92,32,2020,2,36.0,14.0,38.9,não aplicável
2248,2020-03,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158,-7.4922407",131,42,2020,3,39.0,10.0,25.6,não aplicável
1465,2020-04,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158,-7.4922407",166,50,2020,4,35.0,8.0,22.9,não aplicável
3971,2020-05,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158,-7.4922407",212,65,2020,5,46.0,15.0,32.6,não aplicável
3983,2020-06,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158,-7.4922407",267,89,2020,6,55.0,24.0,43.6,não aplicável
2279,2020-07,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158,-7.4922407",307,101,2020,7,40.0,12.0,30.0,não aplicável
3137,2020-08,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158,-7.4922407",347,118,2020,8,40.0,17.0,42.5,não aplicável
672,2020-09,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158,-7.4922407",401,142,2020,9,54.0,24.0,44.4,não aplicável
683,2020-10,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158,-7.4922407",446,159,2020,10,45.0,17.0,37.8,não aplicável
2319,2020-11,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158,-7.4922407",489,173,2020,11,43.0,14.0,32.6,não aplicável
2327,2020-12,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158,-7.4922407",527,191,2020,12,38.0,18.0,47.4,36.2
4022,2021-01,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158,-7.4922407",37,22,2021,1,37.0,22.0,59.5,não aplicável
1523,2021-02,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158,-7.4922407",57,28,2021,2,20.0,6.0,30.0,não aplicável
4042,2021-03,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158,-7.4922407",100,52,2021,3,43.0,24.0,55.8,não aplicável
2370,2021-04,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158,-7.4922407",138,70,2021,4,38.0,18.0,47.4,não aplicável
1545,2021-05,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158,-7.4922407",184,94,2021,5,46.0,24.0,52.2,não aplicável
3205,2021-06,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158,-7.4922407",231,114,2021,6,47.0,20.0,42.6,não aplicável
2391,2021-07,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158,-7.4922407",272,131,2021,7,41.0,17.0,41.5,não aplicável
4073,2021-08,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158,-7.4922407",314,156,2021,8,42.0,25.0,59.5,não aplicável
4082,2021-09,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158,-7.4922407",368,175,2021,9,54.0,19.0,35.2,não aplicável
1586,2021-10,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158,-7.4922407",411,192,2021,10,43.0,17.0,39.5,não aplicável
3246,2021-11,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158,-7.4922407",444,209,2021,11,33.0,17.0,51.5,não aplicável
2436,2021-12,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158,-7.4922407",481,224,2021,12,37.0,15.0,40.5,46.6
4111,2022-01,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158,-7.4922407",36,17,2022,1,36.0,17.0,47.2,não aplicável
2456,2022-02,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158,-7.4922407",75,28,2022,2,39.0,11.0,28.2,não aplicável
2461,2022-03,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158,-7.4922407",114,43,2022,3,39.0,15.0,38.5,não aplicável
2472,2022-04,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158,-7.4922407",149,58,2022,4,35.0,15.0,42.9,não aplicável
1621,2013-01,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",346,117,2013,1,346.0,117.0,33.8,não aplicável
12,2013-02,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",614,186,2013,2,268.0,69.0,25.7,não aplicável
19,2013-03,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",922,274,2013,3,308.0,88.0,28.6,não aplicável
842,2013-04,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",1213,351,2013,4,291.0,77.0,26.5,não aplicável
855,2013-05,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",1510,444,2013,5,297.0,93.0,31.3,não aplicável
862,2013-06,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",1812,536,2013,6,302.0,92.0,30.5,não aplicável
47,2013-07,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",2122,621,2013,7,310.0,85.0,27.4,não aplicável
3330,2013-08,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",2448,707,2013,8,326.0,86.0,26.4,não aplicável
2545,2013-09,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",2769,796,2013,9,321.0,89.0,27.7,não aplicável
894,2013-10,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",3070,906,2013,10,301.0,110.0,36.5,não aplicável
3348,2013-11,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",3434,1015,2013,11,364.0,109.0,29.9,não aplicável
905,2013-12,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",3660,1093,2013,12,226.0,78.0,34.5,29.9
3371,2014-01,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",296,104,2014,1,296.0,104.0,35.1,não aplicável
926,2014-02,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",575,186,2014,2,279.0,82.0,29.4,não aplicável
2593,2014-03,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",817,251,2014,3,242.0,65.0,26.9,não aplicável
949,2014-04,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",1085,333,2014,4,268.0,82.0,30.6,não aplicável
3406,2014-05,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",1407,423,2014,5,322.0,90.0,28.0,não aplicável
113,2014-06,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",1686,501,2014,6,279.0,78.0,28.0,não aplicável
975,2014-07,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",2020,609,2014,7,334.0,108.0,32.3,não aplicável
129,2014-08,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",2330,704,2014,8,310.0,95.0,30.6,não aplicável
2629,2014-09,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",2665,818,2014,9,335.0,114.0,34.0,não aplicável
999,2014-10,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",3014,931,2014,10,349.0,113.0,32.4,não aplicável
2650,2014-11,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",3294,998,2014,11,280.0,67.0,23.9,não aplicável
2654,2014-12,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",3573,1050,2014,12,279.0,52.0,18.6,29.4
3476,2015-01,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",301,79,2015,1,301.0,79.0,26.2,não aplicável
165,2015-02,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",546,140,2015,2,245.0,61.0,24.9,não aplicável
173,2015-03,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",823,222,2015,3,277.0,82.0,29.6,não aplicável
3498,2015-04,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",1096,296,2015,4,273.0,74.0,27.1,não aplicável
3506,2015-05,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",1391,382,2015,5,295.0,86.0,29.2,não aplicável
2702,2015-06,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",1665,456,2015,6,274.0,74.0,27.0,não aplicável
3520,2015-07,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",1979,543,2015,7,314.0,87.0,27.7,não aplicável
3528,2015-08,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",2289,628,2015,8,310.0,85.0,27.4,não aplicável
216,2015-09,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",2621,736,2015,9,332.0,108.0,32.5,não aplicável
3544,2015-10,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",2903,818,2015,10,282.0,82.0,29.1,não aplicável
231,2015-11,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",3159,892,2015,11,256.0,74.0,28.9,não aplicável
237,2015-12,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",3451,976,2015,12,292.0,84.0,28.8,28.3
1882,2016-01,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",283,85,2016,1,283.0,85.0,30.0,não aplicável
254,2016-02,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",527,164,2016,2,244.0,79.0,32.4,não aplicável
3577,2016-03,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",802,255,2016,3,275.0,91.0,33.1,não aplicável
2775,2016-04,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",1087,330,2016,4,285.0,75.0,26.3,não aplicável
1911,2016-05,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",1383,411,2016,5,296.0,81.0,27.4,não aplicável
2795,2016-06,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",1694,505,2016,6,311.0,94.0,30.2,não aplicável
290,2016-07,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",2026,578,2016,7,332.0,73.0,22.0,não aplicável
1152,2016-08,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",2348,648,2016,8,322.0,70.0,21.7,não aplicável
1159,2016-09,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",2645,732,2016,9,297.0,84.0,28.3,não aplicável
3623,2016-10,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",2981,822,2016,10,336.0,90.0,26.8,não aplicável
3635,2016-11,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",3292,919,2016,11,311.0,97.0,31.2,não aplicável
1967,2016-12,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",3616,1007,2016,12,324.0,88.0,27.2,27.8
332,2017-01,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",273,76,2017,1,273.0,76.0,27.8,não aplicável
2855,2017-02,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",540,148,2017,2,267.0,72.0,27.0,não aplicável
1994,2017-03,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",866,235,2017,3,326.0,87.0,26.7,não aplicável
2866,2017-04,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",1142,317,2017,4,276.0,82.0,29.7,não aplicável
3676,2017-05,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",1450,404,2017,5,308.0,87.0,28.2,não aplicável
3687,2017-06,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",1780,496,2017,6,330.0,92.0,27.9,não aplicável
2894,2017-07,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",2089,596,2017,7,309.0,100.0,32.4,não aplicável
3699,2017-08,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",2407,702,2017,8,318.0,106.0,33.3,não aplicável
3711,2017-09,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",2722,793,2017,9,315.0,91.0,28.9,não aplicável
2914,2017-10,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",3043,900,2017,10,321.0,107.0,33.3,não aplicável
3726,2017-11,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",3369,1001,2017,11,326.0,101.0,31.0,não aplicável
2062,2017-12,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",3673,1082,2017,12,304.0,81.0,26.6,29.5
423,2018-01,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",303,80,2018,1,303.0,80.0,26.4,não aplicável
431,2018-02,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",587,170,2018,2,284.0,90.0,31.7,não aplicável
2088,2018-03,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",872,260,2018,3,285.0,90.0,31.6,não aplicável
2099,2018-04,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",1111,320,2018,4,239.0,60.0,25.1,não aplicável
2960,2018-05,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",1431,428,2018,5,320.0,108.0,33.8,não aplicável
3774,2018-06,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",1716,512,2018,6,285.0,84.0,29.5,não aplicável
469,2018-07,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",1992,593,2018,7,276.0,81.0,29.3,não aplicável
1316,2018-08,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",2306,708,2018,8,314.0,115.0,36.6,não aplicável
2128,2018-09,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",2601,812,2018,9,295.0,104.0,35.3,não aplicável
2134,2018-10,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",2896,915,2018,10,295.0,103.0,34.9,não aplicável
3816,2018-11,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",3163,984,2018,11,267.0,69.0,25.8,não aplicável
1347,2018-12,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",3428,1066,2018,12,265.0,82.0,30.9,31.1
3017,2019-01,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",289,87,2019,1,289.0,87.0,30.1,não aplicável
529,2019-02,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",516,141,2019,2,227.0,54.0,23.8,não aplicável
534,2019-03,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",824,233,2019,3,308.0,92.0,29.9,não aplicável
2173,2019-04,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",1065,308,2019,4,241.0,75.0,31.1,não aplicável
3873,2019-05,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",1331,409,2019,5,266.0,101.0,38.0,não aplicável
2192,2019-06,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",1607,495,2019,6,276.0,86.0,31.2,não aplicável
1400,2019-07,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",1895,604,2019,7,288.0,109.0,37.8,não aplicável
1408,2019-08,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",2166,688,2019,8,271.0,84.0,31.0,não aplicável
3061,2019-09,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",2460,801,2019,9,294.0,113.0,38.4,não aplicável
589,2019-10,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",2749,896,2019,10,289.0,95.0,32.9,não aplicável
2222,2019-11,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",3002,993,2019,11,253.0,97.0,38.3,não aplicável
2228,2019-12,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",3262,1080,2019,12,260.0,87.0,33.5,33.1
2236,2020-01,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",295,89,2020,1,295.0,89.0,30.2,não aplicável
614,2020-02,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",546,167,2020,2,251.0,78.0,31.1,não aplicável
2250,2020-03,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",829,254,2020,3,283.0,87.0,30.7,não aplicável
3113,2020-04,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",1082,338,2020,4,253.0,84.0,33.2,não aplicável
3973,2020-05,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",1326,415,2020,5,244.0,77.0,31.6,não aplicável
650,2020-06,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",1578,509,2020,6,252.0,94.0,37.3,não aplicável
661,2020-07,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",1842,597,2020,7,264.0,88.0,33.3,não aplicável
2293,2020-08,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",2109,685,2020,8,267.0,88.0,33.0,não aplicável
3145,2020-09,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",2389,767,2020,9,280.0,82.0,29.3,não aplicável
2310,2020-10,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",2652,858,2020,10,263.0,91.0,34.6,não aplicável
4010,2020-11,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",2917,949,2020,11,265.0,91.0,34.3,não aplicável
700,2020-12,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",3116,1031,2020,12,199.0,82.0,41.2,33.1
4024,2021-01,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",217,78,2021,1,217.0,78.0,35.9,não aplicável
3179,2021-02,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948,-9.1371248",421,148,2021,2,204.0,70.0,34.3,não aplicável
